,0,1,2,3
247,RT @OccupyDemocrats: BREAKING: Pres. Biden gets a standing ovation while celebrating artists like Bette Midler and Joni Mitchell at tonight…,-23.631013009094374,http://pbs.twimg.com/profile_images/1354524828678696961/vpkd2qGK_normal.jpg,Mon Dec 06 07:37:30 +0000 2021
248,"RT @AJEnglish: By failing to hold Modi to account, Biden is perpetuating deepening religious persecution against Indian minorities. — write…",-23.631013009094374,http://pbs.twimg.com/profile_images/1432617010895081479/_CZJd5Li_normal.jpg,Mon Dec 06 07:37:58 +0000 2021
242,RT @OccupyDemocrats: BREAKING: Pres. Biden gets a standing ovation while celebrating artists like Bette Midler and Joni Mitchell at tonight…,-23.631013009094374,http://pbs.twimg.com/profile_images/1304571268784631809/uRqo3jS0_normal.jpg,Mon Dec 06 07:30:35 +0000 2021
254,RT @weijia: President Biden gets a standing ovation at the #kennedycenterhonors after David Letterman says it’s nice that the Presidential…,-23.631013009094374,http://pbs.twimg.com/profile_images/870163755262386176/whtAMR-1_normal.jpg,Mon Dec 06 07:42:03 +0000 2021
253,"RT @AJEnglish: By failing to hold Modi to account, Biden is perpetuating deepening religious persecution against Indian minorities. — write…",-23.631013009094374,http://pbs.twimg.com/profile_images/1231454672382308352/JtU72u1B_normal.jpg,Mon Dec 06 07:41:18 +0000 2021
236,RT @OccupyDemocrats: BREAKING: Pres. Biden gets a standing ovation while celebrating artists like Bette Midler and Joni Mitchell at tonight…,-23.631013009094374,http://pbs.twimg.com/profile_images/1043200200410451968/8pBVxZ0P_normal.jpg,Mon Dec 06 07:19:34 +0000 2021
255,"AYE BIDEN WE GOT YO SON, AND IF YOU DONT PASS THIS BILL, WE GONE PASS YOUR SON TO GOD",-23.631013009094374,http://pbs.twimg.com/profile_images/1373884980003176456/cR96Pjyn_normal.jpg,Mon Dec 06 07:45:09 +0000 2021
231,RT @weijia: President Biden gets a standing ovation at the #kennedycenterhonors after David Letterman says it’s nice that the Presidential…,-23.631013009094374,http://pbs.twimg.com/profile_images/1139533330305523713/TpsUEh0x_normal.jpg,Mon Dec 06 07:02:04 +0000 2021
202,RT @NPR: A new NPR analysis reveals that pro-Trump counties now have a higher death rate from COVID-19 than counties that voted for Joe Bid…,-23.67596357919174,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 07:00:13 +0000 2021
266,"RT @JuliaDavisNews: EU and NATO allies have swung behind the Biden administration’s assessment that Russia may be poised to invade Ukraine,…",-23.770573055999048,http://pbs.twimg.com/profile_images/1234590103684534272/P38DrvI9_normal.jpg,Mon Dec 06 08:03:30 +0000 2021
244,"RT @BuckSexton: Biden left Americans behind 

His partisans will lie and obscure and stamp their feet about “the insurrection” to distract…",-23.770573055999048,http://pbs.twimg.com/profile_images/1394875401051193345/TGbB8YNk_normal.jpg,Mon Dec 06 07:34:43 +0000 2021
232,@TG22110 Republicans will blame the Democrats for everything that Biden is having to take time to clean up what  Tr… https://t.co/eU7CRZiHss,-23.770573055999048,http://pbs.twimg.com/profile_images/1368913478514311168/E3kWjzzC_normal.jpg,Mon Dec 06 07:07:21 +0000 2021
249,"RT @MichaelKugelman: ""The Biden administration has told New Delhi...that it is 'willing' to grant a presidential waiver to India 'only' for…",-23.770573055999048,http://pbs.twimg.com/profile_images/1288132086507872257/fnHTQ5Gq_normal.jpg,Mon Dec 06 07:39:09 +0000 2021
228,"RT @bourgwick: only known dead version of I WASHED MY HANDS IN MUDDY WATER by cowboy joe babcock, though garcia only sings the chorus &amp; rep…",-23.78918456314028,http://pbs.twimg.com/profile_images/1022232783106662400/omGR__tY_normal.jpg,Mon Dec 06 08:14:11 +0000 2021
194,"Hello my name is James, i am a traveler that is sad @oliviataters",-23.8295940360342,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 08:11:29 +0000 2021
17,"@9NewsMelb Time to mortgage the house now you're fired. 
Hello new cliental! :D",-23.8295940360342,http://pbs.twimg.com/profile_images/1303997875815247872/pLiwxU6y_normal.jpg,Mon Dec 06 07:07:14 +0000 2021
105,RT @gayluthxr: KARA KISSING WONDER WOMAN IN THE NEW COMIC????? HELLO WHAT https://t.co/XLJTpoeZT9,-23.8295940360342,http://pbs.twimg.com/profile_images/1466612181852733448/ecYWIdtE_normal.jpg,Mon Dec 06 07:37:21 +0000 2021
117,RT @fleetwoodbrak: #furryartist is trended so hello here is my furry art!! https://t.co/VEoN6NqRQy,-23.8295940360342,http://pbs.twimg.com/profile_images/1466610938220482564/tCZdUyVb_normal.jpg,Mon Dec 06 07:41:39 +0000 2021
77,@freckledgyu KAYEUEUEHRNFFJFNFNNF HELLO THANK YOUU I MISISED YOI SO MUCHHCHH HOW ARE U&lt;3333,-23.8295940360342,http://pbs.twimg.com/profile_images/1453855058723237888/buZmT6gO_normal.jpg,Mon Dec 06 07:27:29 +0000 2021
5,"@mouse_279 @Devereaux_RBW Hello here is some free E-books if you are interested
https://t.co/VfcR6v1uDY",-23.8295940360342,http://pbs.twimg.com/profile_images/1466800538683645960/v_bObSSV_normal.jpg,Mon Dec 06 07:00:52 +0000 2021
235,"VIDEO 2: 'What's It All About?'
This video looks at the stated aims and main focus areas of the Biden administratio… https://t.co/QAp6ceVljQ",-23.90392834371155,http://pbs.twimg.com/profile_images/1451884268557266946/b3paAih4_normal.jpg,Mon Dec 06 07:16:04 +0000 2021
265,"RT @BellaDolce8: Before you mock kids who still believe in Santa ,remember that there are incompetent adults who believe that Biden is comp…",-24.03160718696794,http://pbs.twimg.com/profile_images/1466413219665301519/KqAj3i2c_normal.jpg,Mon Dec 06 08:02:13 +0000 2021
239,RT @Route_60plus: Compare the festive White House Xmas decor of FLOTUS Jill Biden (left) with a dreary one by ex-FLOTUS Melania Trump (righ…,-24.03160718696794,http://pbs.twimg.com/profile_images/1464947512792338432/vErMWROO_normal.jpg,Mon Dec 06 07:26:01 +0000 2021
160,"@FinkelbergJ Hello John, Please click the link to meet in a DM. Thanks. 

https://t.co/NidNKlMBQk",-24.036572650495057,http://pbs.twimg.com/profile_images/1275507788609880070/O1z2hVZv_normal.jpg,Mon Dec 06 07:59:14 +0000 2021
42,"RT @Calmeurdmonking: Hello sinners~ 

I need friends so ♥️ and 🔁 to be moots",-24.036572650495057,http://pbs.twimg.com/profile_images/1442268987497140226/bRW0XDNn_normal.jpg,Mon Dec 06 07:15:39 +0000 2021
149,@Candra71054091 @HappyRacoon5 Hello ! The Happyracoon will be airdrop or they are done ?,-24.036572650495057,http://pbs.twimg.com/profile_images/1453953446869028864/SwhhzLLu_normal.png,Mon Dec 06 07:55:32 +0000 2021
